Evolving 30 sharks over 10000 generations (max_steps=200, lives=3, mutation_rate=0.2, seed=0)...

  Gen |  Size |  Speed | Caution |  Fitness
  350 | 8.898 |  4.697 |   0.286 |  -1.6000
  351 | 8.156 |  5.485 |   0.311 |  29.0333
  352 | 7.652 |  5.645 |   0.104 | -10.5000
  353 | 7.875 |  5.250 |   0.256 |  18.9000
  354 | 7.875 |  4.621 |   0.279 |  25.8000
  355 | 8.095 |  5.130 |   0.319 | -11.7000
  356 | 8.079 |  4.070 |   0.396 |  -6.0667
  357 | 8.386 |  4.412 |   0.370 | -13.2333
  358 | 8.079 |  4.070 |   0.396 | -10.5000
  359 | 8.215 |  5.663 |   0.282 |  -3.7667
  360 | 7.942 |  5.400 |   0.288 |  11.6333
  361 | 8.427 |  5.118 |   0.272 |   0.3000
  362 | 8.037 |  4.921 |   0.321 |   3.2667
  363 | 7.740 |  4.929 |   0.337 |  14.1000
  364 | 8.157 |  5.062 |   0.331 |  -4.8667
  365 | 8.147 |  5.157 |   0.352 |  -3.1333
  366 | 8.132 |  4.759 |   0.339 |  -2.4333
  367 | 8.310 |  5.024 |   0.338 |   6.9667
  368 | 8.864 |  5.062 |   0.347 | -16.4333
  369 | 7.614 |  4.797 |   0.237 |  16.3000
  370 | 8.150 |  5.402 |   0.386 |   2.0333
  371 | 7.915 |  5.091 |   0.370 |  15.1667
  372 | 7.918 |  5.002 |   0.402 |  32.0333
  373 | 8.002 |  4.955 |   0.373 |   4.0000
  374 | 7.990 |  4.958 |   0.376 |  22.6667
  375 | 7.891 |  5.605 |   0.429 |  21.2667
  376 | 8.022 |  5.665 |   0.405 |  19.3333
  377 | 8.022 |  5.665 |   0.405 |  -3.7000
  378 | 8.118 |  5.015 |   0.385 |  27.6667
  379 | 7.950 |  5.391 |   0.429 |   5.5000
  380 | 8.270 |  5.739 |   0.381 |  12.7333
  381 | 7.884 |  5.530 |   0.469 | -12.5000
  382 | 8.241 |  4.891 |   0.476 |  43.3000
